keyword;mapel;bobot
TEKNIK INDUSTRI PERTANIAN;Kimia;4
DESAIN KOMUNIKASI VISUAL;Bahasa Indonesia;5
DESAIN KOMUNIKASI VISUAL;Matematika;4
PARAMEDIK VETERINER;Biologi;5
PARAMEDIK VETERINER;Kimia;4
HUTAN;Biologi;5
HUTAN;Kimia;5
ADMINISTRASI RUMAH SAKIT;Biologi;5
ADMINISTRASI RUMAH SAKIT;Kimia;5
multimedia;Bahasa Indonesia;4
SISTEM INFORMASI;Fisika;5
SISTEM INFORMASI;Matematika Tingkat Lanjut;4
EKOWISATA;Biologi;5
EKOWISATA;Kimia;4
Teknik Telekomunikasi;Fisika;5
Teknik Telekomunikasi;Matematika Tingkat Lanjut;4
Teknik Komputer;Fisika;5
Teknik Komputer;Matematika Tingkat Lanjut;4
Perancangan;Fisika;5
Perancangan;Matematika Tingkat Lanjut;4
Desain Grafis;Matematika;6
Desain Grafis;Bahasa Indonesia;6
