Kode PTN,Nama Kampus,Kode Jurusan,Nama Jurusan,Jenjang,Portofolio,Peminat 2024,Daya Tampung 2024,Peminat 2025,Daya Tampung 2025,Link Detail
1321,"UI",'13211001,"PENDIDIKAN DOKTER","Sarjana","Tidak Ada",1720,55,2056,60,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321001&jenis=0"
1321,"UI",'13211002,"PENDIDIKAN DOKTER GIGI","Sarjana","Tidak Ada",504,32,540,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321002&jenis=0"
1321,"UI",'13211003,"MATEMATIKA","Sarjana","Tidak Ada",243,20,262,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321003&jenis=0"
1321,"UI",'13211004,"FISIKA","Sarjana","Tidak Ada",134,28,212,28,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321004&jenis=0"
1321,"UI",'13211005,"KIMIA","Sarjana","Tidak Ada",237,28,307,28,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321005&jenis=0"
1321,"UI",'13211006,"BIOLOGI","Sarjana","Tidak Ada",165,28,288,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321006&jenis=0"
1321,"UI",'13211007,"FARMASI","Sarjana","Tidak Ada",779,36,814,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321007&jenis=0"
1321,"UI",'13211008,"GEOGRAFI","Sarjana","Tidak Ada",175,28,245,28,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321008&jenis=0"
1321,"UI",'13211009,"TEKNIK SIPIL","Sarjana","Tidak Ada",494,40,553,40,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321009&jenis=0"
1321,"UI",'13211010,"TEKNIK MESIN","Sarjana","Tidak Ada",429,36,460,40,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321010&jenis=0"
1321,"UI",'13211011,"TEKNIK ELEKTRO","Sarjana","Tidak Ada",428,40,505,34,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321011&jenis=0"
1321,"UI",'13211012,"TEKNIK METALURGI & MATERIAL","Sarjana","Tidak Ada",387,34,460,34,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321012&jenis=0"
1321,"UI",'13211013,"ARSITEKTUR","Sarjana","Tidak Ada",441,24,465,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=321&prodi=321013&jenis=0"
